cluster,size,sil,top_terms,exemplar_1,exemplar_2,exemplar_3,summary
9,348,0.534,"department, limits, office, funds, funding, fiscal","HR2060-118 — To provide for a limitation on availability of funds for Department of Treasury, Internal Revenue Service, Enforcement for fiscal year 2024.","HR1960-118 — To provide for a limitation on availability of funds for Department of Health and Human Services, Health Resources and Services Administration Program Management for fiscal year 2024.","HR1967-118 — To provide for a limitation on availability of funds for Department of Health and Human Services, Centers for Disease Control and Prevention Environmental Health for fiscal year 2024.","Theme: department, limits, office — ~348 bills; ~0 cosponsors (median); deg≈0; PR≈-0.27; exemplar: To provide for a limitation on availability of funds for Department of Treasu…"
18,191,0.479,"postal, post, post office, office, facility postal, service located","HR4621-117 — To designate the facility of the United States Postal Service located at 102 West Main Street in New Albany, Ohio, as the ""Congressman Samuel L. Devine Post Office"".","HR3613-117 — To designate the facility of the United States Postal Service located at 202 Trumbull Street in Saint Clair, Michigan, as the ""Corporal Jeffrey Robert Standfest Post Office Building"".","S4454-117 — A bill to designate the facility of the United States Postal Service located at 236 Concord Exchange North in South Saint Paul, Minnesota, as the ""Officer Leo Pavlak Post Office Building"".","Theme: postal, post, post office — ~191 bills; ~0 cosponsors (median); deg≈0; PR≈-0.26; exemplar: To designate the facility of the United States Postal Service located at 102 …"
6,834,0.412,"li, strong, li li, federal, nbsp, consideration",HR5528-118 — Safe and Smart Federal Purchasing Act,HR856-119 — Safe and Smart Federal Purchasing Act,HR3746-118 — Fiscal Responsibility Act of 2023,"Theme: li, strong, li li — ~834 bills; ~0 cosponsors (median); deg≈4; PR≈4.42; exemplar: Safe and Smart Federal Purchasing Act"
21,319,0.302,"ukraine, russia, russian, li, strong, president",HR6422-117 — Putin Accountability Act,"HRES192-118 — Expressing the sense of the House of Representatives that the United States condemns the Russian Government's gross violations of international law amounting to war crimes and crimes against humanity, stands in solidarity with the people of Ukraine, and supports the efforts of international organizations to help people displaced by war and conflict.",HR8120-117 — Expanding Trade Sanctions on Russia Act,"Theme: ukraine, russia, russian — ~319 bills; ~0 cosponsors (median); deg≈0; PR≈-0.27; exemplar: Putin Accountability Act"
27,322,0.284,"firearms, gun, firearm, li, strong, violence",HR5678-117 — Firearms Retailer Code of Conduct Act of 2021,HR4836-117 — Firearm Owners Responsibility and Safety Act,HR3252-117 — Federal Firearms Licensee Protection Act,"Theme: firearms, gun, firearm — ~322 bills; ~0 cosponsors (median); deg≈0; PR≈-0.25; exemplar: Firearms Retailer Code of Conduct Act of 2021"
28,421,0.233,"china, taiwan, chinese, strong, government, li","S413-117 — A bill to establish the China Censorship Monitor and Action Group, and for other purposes.","HR3695-117 — To establish the China Censorship Monitor and Action Group, and for other purposes.",HR1131-117 — China Technology Transfer Control Act of 2021,"Theme: china, taiwan, chinese — ~421 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: A bill to establish the China Censorship Monitor and Action Group, and for ot…"
11,349,0.215,"election, strong, voter, federal, vote, state",HR8461-117 — Promoting Free and Fair Elections Act,S4997-117 — Promoting Free and Fair Elections Act,HR6446-117 — One Citizen One Vote Act,"Theme: election, strong, voter — ~349 bills; ~0 cosponsors (median); deg≈0; PR≈-0.30; exemplar: Promoting Free and Fair Elections Act"
31,392,0.202,"health, abortion, care, services, li, strong",S166-118 — HEALING Mothers and Fathers Act,S3253-117 — HEALING Mothers and Fathers Act,S95-117 — Women’s Public Health and Safety Act,"Theme: health, abortion, care — ~392 bills; ~0 cosponsors (median); deg≈0; PR≈-0.15; exemplar: HEALING Mothers and Fathers Act"
0,336,0.167,"li, strong, health, services, national, federal",HR5984-117 — IDEA Full Funding Act,HR2116-117 — Creating a Respectful and Open World for Natural Hair Act of 2022,HR5129-117 — Community Services Block Grant Modernization Act of 2022,"Theme: li, strong, health — ~336 bills; ~4 cosponsors (median); deg≈1; PR≈1.18; exemplar: IDEA Full Funding Act"
14,656,0.16,"veterans, va, care, strong, li, veteran",HR4486-117 — Survey Our Ser­vice­mem­bers Act,"S1040-117 — A bill to amend title 38, United States Code, to expand eligibility for hospital care, medical services, and nursing home care from the Department of Veterans Affairs to include veterans of World War II.","HR5562-117 — To amend title 38, United States Code, to expand eligibility for hospital care, medical services, and nursing home care from the Department of Veterans Affairs to include veterans of World War II.","Theme: veterans, va, care — ~656 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: Survey Our Ser­vice­mem­bers Act"
2,419,0.155,"li, strong, national, coast, coastal, program",S4903-117 — Northwest Straits Marine Conservation Initiative Reauthorization Act of 2022,HR3205-117 — Open America’s Waters Act,S1646-117 — Open America's Waters Act,"Theme: li, strong, national — ~419 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: Northwest Straits Marine Conservation Initiative Reauthorization Act of 2022"
3,658,0.152,"covid, health, strong, li, vaccine, federal",HR1371-117 — Crush the Virus Act of 2021,HR1268-117 — Building COVID–19 Vaccine Confidence Act of 2021,"HR5106-117 — To prohibit any entity that receives Federal funds from the COVID relief packages from mandating employees receive a COVID-19 vaccine, and for other purposes.","Theme: covid, health, strong — ~658 bills; ~0 cosponsors (median); deg≈0; PR≈-0.28; exemplar: Crush the Virus Act of 2021"
25,550,0.147,"drug, fda, strong, drugs, fentanyl, substances",HR9297-117 — Pre-Approval Information Exchange Act of 2022,HR7008-117 — Pre-approval Information Exchange Act of 2022,HR7667-117 — Food and Drug Amendments of 2022,"Theme: drug, fda, strong — ~550 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: Pre-Approval Information Exchange Act of 2022"
24,421,0.117,"health, mental, mental health, services, strong, substance",HR7237-117 — REACHING Improved Mental Health Outcomes for Patients Act of 2022,HR787-117 — Expanding Student Access to Mental Health Services Act,S1390-117 — Youth Mental Health Services Act of 2021,"Theme: health, mental, mental health — ~421 bills; ~0 cosponsors (median); deg≈0; PR≈-0.28; exemplar: REACHING Improved Mental Health Outcomes for Patients Act of 2022"
32,728,0.115,"national, day, designation, week, month, awareness",HRES1034-117 — Supporting the goals and ideals of Mathematics and Statistics Awareness Month.,"HRES590-117 — Recognizing that many Americans are not aware of the ways in which health care policy can affect every part of their lives and expressing support for the designation of the month of August as ""National Health Care Awareness Month"".","HRES643-117 — Expressing support for dance as a form of valuable exercise and of artistic expression, and for the designation of September 18, 2021, as ""National Dance Day"".","Theme: national, day, designation — ~728 bills; ~0 cosponsors (median); deg≈0; PR≈-0.26; exemplar: Supporting the goals and ideals of Mathematics and Statistics Awareness Month."
16,494,0.114,"disaster, li, strong, emergency, program, flood",S4327-117 — Post-Fire Flooding and Debris Flow Act of 2022,HR7915-117 — Post-Fire Flooding and Debris Flow Act of 2022,S5007-117 — Emergency Conservation Program Improvement Act of 2022,"Theme: disaster, li, strong — ~494 bills; ~0 cosponsors (median); deg≈0; PR≈-0.30; exemplar: Post-Fire Flooding and Debris Flow Act of 2022"
30,783,0.113,"education, strong, student, loan, school, students",S114-117 — SOAR Permanent Authorization Act,S1288-117 — College for All Act of 2021,S3360-117 — EDUCATORS for America Act,"Theme: education, strong, student — ~783 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: SOAR Permanent Authorization Act"
22,444,0.109,"water, li, program, strong, projects, environmental",HR3701-117 — PIPE Act,HR3668-117 — Ensuring Water Investments Benefit Communities Act,HR4915-117 — Water Supply Permitting Coordination Act,"Theme: water, li, program — ~444 bills; ~0 cosponsors (median); deg≈0; PR≈-0.30; exemplar: PIPE Act"
12,637,0.106,"li, transportation, strong, program, dot, vehicle",S1953-117 — Surface Transportation Reauthorization Act of 2021,S1931-117 — Surface Transportation Reauthorization Act of 2021,HR3016-117 — Commuter Parkway Safety and Reliability Act,"Theme: li, transportation, strong — ~637 bills; ~0 cosponsors (median); deg≈0; PR≈-0.30; exemplar: Surface Transportation Reauthorization Act of 2021"
20,629,0.106,"alien, strong, border, immigration, dhs, individual",S5261-117 — Continued Presence Improvement Act,HR6078-117 — Immigrant Witness and Victim Protection Act of 2021,HR1883-117 — Protect America First Act,"Theme: alien, strong, border — ~629 bills; ~0 cosponsors (median); deg≈0; PR≈-0.27; exemplar: Continued Presence Improvement Act"
26,622,0.106,"representatives, president, certain, members, representative, joint",HRES861-117 — Providing for a committee to notify the President of the assembly of the House of Representatives.,"HRES143-118 — Reaffirming the commitment of the House of Representatives to fortify relations with the people and Government of Nigeria and calling for the country to commit to a peaceful, credible, and timely electoral process.",SRES556-118 — A resolution to provide for the printing of the Senate Manual for the One Hundred Eighteenth Congress.,"Theme: representatives, president, certain — ~622 bills; ~0 cosponsors (median); deg≈0; PR≈-0.31; exemplar: Providing for a committee to notify the President of the assembly of the Hous…"
19,462,0.103,"housing, strong, li, program, property, public",HR7191-117 — Homes for All Act of 2021,S1218-117 — Green New Deal for Public Housing Act,HR6556-117 — Landlord Accountability Act of 2022,"Theme: housing, strong, li — ~462 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: Homes for All Act of 2021"
5,613,0.097,"food, li, strong, program, usda, agriculture",HR6292-118 — Future FARMER Act,HR2508-117 — Naturally Offsetting Emissions by Managing and Implementing Tillage Strategies Act of 2021,HR4163-118 — Naturally Offsetting Emissions by Managing and Implementing Tillage Strategies Act of 2023,"Theme: food, li, strong — ~613 bills; ~0 cosponsors (median); deg≈0; PR≈-0.27; exemplar: Future FARMER Act"
33,679,0.095,"broadband, strong, information, service, services, federal",HR3447-117 — Permanency for Audio-Only Telehealth Act,HR4905-117 — Big Tech Accountability for Broadband Act,S3671-117 — Broadband Buildout Accountability Act,"Theme: broadband, strong, information — ~679 bills; ~0 cosponsors (median); deg≈0; PR≈-0.30; exemplar: Permanency for Audio-Only Telehealth Act"
7,717,0.069,"health, medicare, care, services, medicaid, coverage",HR317-117 — To amend the Public Health Service Act to establish a health insurance Federal Invisible Risk Sharing Program.,S4873-117 — Improving Access to Advance Care Planning Act,HR8840-117 — Improving Access to Advanced Care Planning Act,"Theme: health, medicare, care — ~717 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: To amend the Public Health Service Act to establish a health insurance Federa…"
23,775,0.068,"energy, gas, li, strong, fuel, nuclear",HR4599-117 — SUPER Act of 2021,HR5876-117 — Supporting Affordable and Reliable Energy in Developing Countries Act of 2021,HR9576-117 — LOWER Energy Bills Act of 2022,"Theme: energy, gas, li — ~775 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: SUPER Act of 2021"
15,528,0.068,"child, children, care, strong, li, youth",S2762-117 — Pediatric Access to Critical Health Care Act,HR5131-117 — Pediatric Access to Critical Healthcare Act,HR1658-117 — To amend the Child Abuse Prevention and Treatment Act to promote a high-quality workforce in the child welfare system.,"Theme: child, children, care — ~528 bills; ~0 cosponsors (median); deg≈0; PR≈-0.28; exemplar: Pediatric Access to Critical Health Care Act"
10,630,0.066,"li, national, land, strong, area, heritage",HR2348-117 — Advancing Conservation and Education Act,HR9103-117 — Flatside Wilderness Additions Act,S3129-117 — M.H. Dutch Salmon Greater Gila Wild and Scenic River Act,"Theme: li, national, land — ~630 bills; ~0 cosponsors (median); deg≈0; PR≈-0.31; exemplar: Advancing Conservation and Education Act"
17,681,0.064,"tax, strong, credit, income, tax credit, li",S261-117 — All Dependents Count Act of 2021,HR2978-118 — Cutting Paperwork for Taxpayers Act,S1652-117 — Paying a Fair Share Act of 2021,"Theme: tax, strong, credit — ~681 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: All Dependents Count Act of 2021"
4,819,0.032,"strong, li, employees, labor, federal, employment",S650-117 — American Dream Employment Act of 2021,HR691-117 — Expanding Opportunity through Pre-Apprenticeships Act,HR6756-117 — Workforce Opportunity for Returning Citizens Act,"Theme: strong, li, employees — ~819 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: American Dream Employment Act of 2021"
13,730,0.015,"rights, li, state, human, president, human rights","SRES473-117 — A resolution expressing the sense of the Senate on the necessity of maintaining the United Nations arms embargo on South Sudan until conditions for peace, stability, democracy, and development exist.","SCONRES47-117 — A concurrent resolution commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 80 cities and risking their safety to speak out against the Iranian regime's human rights abuses.",HRES841-117 — Recognizing Bahrain on the 50th anniversary of its independence.,"Theme: rights, li, state — ~730 bills; ~0 cosponsors (median); deg≈0; PR≈-0.25; exemplar: A resolution expressing the sense of the Senate on the necessity of maintaini…"
1,1044,0.01,"small, strong, business, li, financial, federal",HR9390-117 — Stop Corporate Capture Act,HR6107-117 — Stop Corporate Capture Act,S2857-117 — Protecting Financial Privacy Act of 2021,"Theme: small, strong, business — ~1044 bills; ~0 cosponsors (median); deg≈0; PR≈-0.30; exemplar: Stop Corporate Capture Act"
29,790,0.005,"relief, national, medal, gold, congressional, congressional gold","SCONRES42-117 — A concurrent resolution authorizing the use of the rotunda of the Capitol on Thursday, July 14, 2022, for the lying in honor of the remains of Hershel Woodrow ""Woody"" Williams, the last surviving Medal of Honor recipient for acts performed during World War II.","HCONRES97-117 — Authorizing the use of the rotunda of the Capitol on Thursday, July 14, 2022, for the lying in honor of the remains of Hershel Woodrow ""Woody"" Williams, the last surviving Medal of Honor recipient for acts performed during World War II.","SRES564-117 — A resolution honoring the life and legacy of James Frederick ""Jimmy"" Hanley.","Theme: relief, national, medal — ~790 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: A concurrent resolution authorizing the use of the rotunda of the Capitol on …"
34,809,0.001,"li, strong, defense, national, security, department",S2491-117 — Defense of United States Infrastructure Act of 2021,S2792-117 — National Defense Authorization Act for Fiscal Year 2022,HR2780-118 — DPA Reform Act of 2023,"Theme: li, strong, defense — ~809 bills; ~0 cosponsors (median); deg≈0; PR≈-0.31; exemplar: Defense of United States Infrastructure Act of 2021"
8,791,-0.006,"strong, law, federal, li, justice, enforcement",HR8096-117 — PREA Rights Enforcement Act of 2022,S1989-117 — Enhancing Oversight to End Discrimination in Policing Act,HR3732-117 — Enhancing Oversight To End Discrimination in Policing Act,"Theme: strong, law, federal — ~791 bills; ~0 cosponsors (median); deg≈0; PR≈-0.29; exemplar: PREA Rights Enforcement Act of 2022"
